"stratum","city","rural"
"More than 12000",1,1
"9600 - 12000",0.891851851851852,0.885941644562334
"8000 - 9600",0.86962962962963,0.851458885941645
"6400 - 8000",0.832592592592593,0.843501326259947
"4800 - 6400",0.814814814814815,0.824933687002652
"3200 - 4800",0.762962962962963,0.774535809018568
"2400 - 3200",0.666666666666667,0.679045092838196
"1600 - 2400",0.561481481481481,0.612732095490716
"800 - 1600",0.459259259259259,0.474801061007958
"400 - 800",0.333333333333333,0.344827586206897
"200 - 400",0.278518518518518,0.281167108753316
"Under 200",0.22962962962963,0.244031830238727
"Prefer not to say",0.1600000000001,0.190981432360743
