,postcode,sqkm,baths,beds,parking,propertyType,sales,volume
0,2000,4.2873,1.0,0.0,0.0,apartment,30028480.0,65.0
1,2000,4.2873,1.0,0.0,0.0,other,305000.0,1.0
2,2000,4.2873,1.0,0.0,1.0,apartment,4835000.0,11.0
3,2000,4.2873,1.0,1.0,0.0,apartment,271561586.0,438.0
4,2000,4.2873,1.0,1.0,0.0,house,5491000.0,3.0
5,2000,4.2873,1.0,1.0,0.0,other,2685000.0,5.0
6,2000,4.2873,1.0,1.0,0.0,semi detached,2400000.0,1.0
7,2000,4.2873,1.0,1.0,1.0,apartment,310570300.0,333.0
8,2000,4.2873,1.0,1.0,1.0,house,2260000.0,2.0
9,2000,4.2873,1.0,1.0,1.0,other,318000.0,1.0
10,2000,4.2873,1.0,1.0,2.0,apartment,1980000.0,2.0
11,2000,4.2873,1.0,1.0,3.0,apartment,54896489.0,94.0
12,2000,4.2873,1.0,1.0,3.0,house,330000.0,1.0
13,2000,4.2873,1.0,2.0,0.0,apartment,27569500.0,31.0
14,2000,4.2873,1.0,2.0,0.0,house,12018000.0,7.0
15,2000,4.2873,1.0,2.0,0.0,semi detached,3765000.0,2.0
16,2000,4.2873,1.0,2.0,1.0,apartment,59049638.0,68.0
17,2000,4.2873,1.0,2.0,2.0,apartment,2430000.0,2.0
18,2000,4.2873,1.0,2.0,3.0,semi detached,2150000.0,1.0
19,2000,4.2873,1.0,3.0,0.0,apartment,625000.0,1.0
20,2000,4.2873,1.0,3.0,0.0,house,96914000.0,41.0
21,2000,4.2873,1.0,3.0,0.0,semi detached,11177000.0,5.0
22,2000,4.2873,1.0,4.0,0.0,house,31326000.0,13.0
23,2000,4.2873,1.0,4.0,3.0,apartment,6214000.0,15.0
24,2000,4.2873,2.0,1.0,0.0,apartment,6086000.0,4.0
25,2000,4.2873,2.0,1.0,1.0,apartment,32601000.0,25.0
26,2000,4.2873,2.0,1.0,2.0,apartment,1090000.0,1.0
27,2000,4.2873,2.0,1.0,3.0,apartment,1370000.0,2.0
28,2000,4.2873,2.0,2.0,0.0,apartment,32105600.0,35.0
29,2000,4.2873,2.0,2.0,0.0,semi detached,6510000.0,3.0
30,2000,4.2873,2.0,2.0,1.0,apartment,880633720.0,668.0
31,2000,4.2873,2.0,2.0,1.0,house,4705000.0,4.0
32,2000,4.2873,2.0,2.0,2.0,apartment,102227000.0,66.0
33,2000,4.2873,2.0,2.0,3.0,apartment,2700000.0,2.0
34,2000,4.2873,2.0,3.0,0.0,apartment,8351000.0,5.0
35,2000,4.2873,2.0,3.0,0.0,house,11200000.0,4.0
36,2000,4.2873,2.0,3.0,0.0,semi detached,2150000.0,1.0
37,2000,4.2873,2.0,3.0,1.0,apartment,73858300.0,51.0
38,2000,4.2873,2.0,3.0,2.0,apartment,378847888.0,159.0
39,2000,4.2873,2.0,3.0,2.0,house,2325000.0,1.0
40,2000,4.2873,2.0,3.0,3.0,apartment,23325000.0,8.0
41,2000,4.2873,2.0,4.0,0.0,house,60608000.0,19.0
42,2000,4.2873,2.0,4.0,0.0,semi detached,4990000.0,2.0
43,2000,4.2873,2.0,4.0,1.0,house,6300000.0,1.0
44,2000,4.2873,2.0,4.0,2.0,apartment,990000.0,1.0
45,2000,4.2873,2.0,4.0,3.0,house,7375000.0,2.0
46,2000,4.2873,2.0,4.0,3.0,semi detached,6720000.0,2.0
47,2000,4.2873,3.0,2.0,1.0,apartment,12165000.0,7.0
48,2000,4.2873,3.0,2.0,2.0,apartment,24320000.0,9.0
49,2000,4.2873,3.0,2.0,2.0,house,4105000.0,1.0
50,2000,4.2873,3.0,3.0,0.0,semi detached,200000.0,1.0
51,2000,4.2873,3.0,3.0,1.0,apartment,19878000.0,11.0
